time,xmin,xmax,ymin,ymax,class
0.12,1530.8602294921875,1735.9508056640625,483.6658020019531,606.9652709960938,side mirror
0.12,50.27458190917969,266.4421081542969,552.444580078125,689.4990234375,side mirror
0.12,744.1403198242188,1040.2586669921875,325.6295471191406,425.1883850097656,reer mirror
0.12,1093.490966796875,1204.8055419921875,562.170166015625,638.6114501953125,speed
0.16,1529.745849609375,1735.004150390625,482.85546875,606.752197265625,side mirror
0.16,49.713958740234375,264.49676513671875,551.8817749023438,689.7314453125,side mirror
0.16,745.4382934570312,1038.875244140625,325.174072265625,424.4981689453125,reer mirror
0.16,1094.202392578125,1206.075439453125,561.2252807617188,637.9561157226562,speed
0.2,1528.430908203125,1734.107421875,482.70538330078125,606.9547119140625,side mirror
0.2,745.02587890625,1036.357666015625,325.2801818847656,424.0476379394531,reer mirror
0.2,49.05683898925781,264.8825988769531,551.6109008789062,690.2166137695312,side mirror
0.2,1091.58447265625,1204.607421875,560.397705078125,638.2136840820312,speed
0.24,1528.2421875,1733.5587158203125,482.7638854980469,606.7482299804688,side mirror
0.24,745.1757202148438,1036.557861328125,325.28466796875,423.9525146484375,reer mirror
0.24,48.17070007324219,264.22406005859375,551.321044921875,689.8795166015625,side mirror
0.24,1092.25537109375,1203.8013916015625,560.6957397460938,637.6416015625,speed
0.28,1527.6549072265625,1733.6361083984375,482.5701599121094,607.0201416015625,side mirror
0.28,745.4035034179688,1036.9996337890625,325.5098876953125,424.1121826171875,reer mirror
0.28,48.159141540527344,262.57342529296875,551.4788818359375,690.1121215820312,side mirror
0.28,1093.316162109375,1202.0504150390625,560.2491455078125,637.2178955078125,speed
0.32,1525.759765625,1733.2677001953125,479.9017639160156,605.866943359375,side mirror
0.32,745.381103515625,1037.258544921875,325.4432678222656,423.62799072265625,reer mirror
0.32,47.257301330566406,261.0888671875,551.0376586914062,689.7067260742188,side mirror
0.32,1094.965576171875,1201.992919921875,561.0433349609375,636.6453857421875,speed
0.36,1524.4444580078125,1732.541015625,478.70794677734375,605.3828735351562,side mirror
0.36,744.3607177734375,1037.55908203125,325.517822265625,422.8200988769531,reer mirror
0.36,46.07599639892578,259.9317626953125,550.6407470703125,689.2823486328125,side mirror
0.36,1090.6326904296875,1196.908935546875,560.2353515625,635.5528564453125,speed
0.4,740.9461669921875,1037.71435546875,324.830078125,422.3507995605469,reer mirror
0.4,1524.142822265625,1730.55029296875,480.0550231933594,603.7342529296875,side mirror
0.4,43.613685607910156,255.36485290527344,550.8831176757812,689.94091796875,side mirror
0.4,1088.4998779296875,1201.858642578125,559.352294921875,636.7257080078125,speed
0.44,738.2382202148438,1038.1015625,324.4620056152344,421.9418640136719,reer mirror
0.44,1523.4278564453125,1729.6083984375,479.8204650878906,602.6763305664062,side mirror
0.44,41.85237121582031,253.9647674560547,550.6371459960938,689.5953369140625,side mirror
0.44,1087.3843994140625,1198.7952880859375,558.9678955078125,635.5670776367188,speed
0.48,736.4597778320312,1035.393310546875,323.5537414550781,421.62908935546875,reer mirror
0.48,1523.5264892578125,1727.1866455078125,480.3807067871094,601.3836669921875,side mirror
0.48,41.00294494628906,253.1348876953125,551.1356201171875,689.32275390625,side mirror
0.48,1085.9964599609375,1198.3192138671875,558.0928344726562,635.8311767578125,speed
0.52,736.7113037109375,1034.2723388671875,322.7783203125,420.99114990234375,reer mirror
0.52,1522.922607421875,1728.0560302734375,479.933837890625,601.0332641601562,side mirror
0.52,39.80694580078125,252.7544403076172,550.7314453125,688.9757080078125,side mirror
0.52,1085.3094482421875,1196.047607421875,557.3009643554688,635.6854858398438,speed
0.56,737.1215209960938,1034.6497802734375,322.0433654785156,421.07275390625,reer mirror
0.56,1522.9776611328125,1727.7353515625,479.8775329589844,600.8854370117188,side mirror
0.56,38.441986083984375,252.39028930664062,550.2703857421875,688.7774658203125,side mirror
0.56,1084.906494140625,1194.551025390625,557.293212890625,635.6859741210938,speed
0.6,737.3928833007812,1034.3056640625,321.75042724609375,420.6374816894531,reer mirror
0.6,1523.10400390625,1727.9093017578125,479.19207763671875,600.535888671875,side mirror
0.6,38.21239471435547,252.18589782714844,550.495849609375,688.6066284179688,side mirror
0.6,1085.44384765625,1194.1865234375,557.1671142578125,635.3826293945312,speed
0.64,1523.3466796875,1727.7169189453125,476.7748718261719,598.9515991210938,side mirror
0.64,736.8656616210938,1032.6829833984375,321.1085205078125,420.0811462402344,reer mirror
0.64,37.5732421875,251.5810546875,550.2872924804688,688.4385375976562,side mirror
