participant number,Scenario number,index 1,index 2,dataframe eye,start drive,end drive,initial start eye,initial end eye,lag,new start eye,new end eye,star video,end video,start in,end in,video_path
19,3.0,11052,11691,data_eye\19_3.0_221.4406039120651.pkl,2022-10-26 12:48:26.489,2022-10-26 12:49:53.216,2022-10-26 12:47:57,2022-10-26 12:51:51.231815,191.951604,2022-10-26 12:44:45.048396,2022-10-26 12:48:39.280211,221.4406039120651,308.1676039120651,False,False,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T114757Z\scenevideo.mp4
19,5.0,0,11691,data_eye\19_5.0_329.34460391206505.pkl,2022-10-26 12:50:14.393,2022-10-26 12:51:56.980,2022-10-26 12:47:57,2022-10-26 12:51:51.231815,191.951604,2022-10-26 12:44:45.048396,2022-10-26 12:48:39.280211,329.34460391206505,431.93160391206504,False,False,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T114757Z\scenevideo.mp4
19,4.0,7955,12076,data_eye\19_4.0_159.40839840954274.pkl,2022-10-26 12:53:41.504,2022-10-26 12:55:05.015,2022-10-26 12:53:11,2022-10-26 12:57:12.964004,128.904398,2022-10-26 12:51:02.095602,2022-10-26 12:55:04.059606,159.40839840954274,242.91939840954274,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T115311Z\scenevideo.mp4
19,8.0,0,12076,data_eye\19_8.0_266.4873984095427.pkl,2022-10-26 12:55:28.583,2022-10-26 12:57:24.180,2022-10-26 12:53:11,2022-10-26 12:57:12.964004,128.904398,2022-10-26 12:51:02.095602,2022-10-26 12:55:04.059606,266.4873984095427,382.0843984095427,False,False,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T115311Z\scenevideo.mp4
20,3.0,5286,10706,data_eye\20_3.0_105.91159121718377.pkl,2022-10-26 13:23:11.651,2022-10-26 13:25:00.234,2022-10-26 13:22:47,2022-10-26 13:26:58.960712,81.260591,2022-10-26 13:21:25.739409,2022-10-26 13:25:37.700121,105.91159121718377,214.49459121718377,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T122247Z\scenevideo.mp4
20,5,11740,12576,data_eye\20_5_235.22459121718376.pkl,2022-10-26 13:25:20.964,2022-10-26 13:26:37.807,2022-10-26 13:22:47,2022-10-26 13:26:58.960712,81.260591,2022-10-26 13:21:25.739409,2022-10-26 13:25:37.700121,235.22459121718376,312.06759121718375,True,False,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T122247Z\scenevideo.mp4
20,4.0,898,5091,data_eye\20_4.0_17.979933110367895.pkl,2022-10-26 13:28:13.427,2022-10-26 13:29:43.095,2022-10-26 13:27:45,2023-10-13 06:38:53.891696,-10.447067,2022-10-26 13:27:55.447067,2023-10-13 06:39:04.338763,17.979933110367895,107.6479331103679,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T122745Z\scenevideo.mp4
20,8.0,5091,5091,data_eye\20_8.0_116.5669331103679.pkl,2022-10-26 13:29:52.014,2022-10-26 13:31:42.864,2022-10-26 13:27:45,2023-10-13 06:38:53.891696,-10.447067,2022-10-26 13:27:55.447067,2023-10-13 06:39:04.338763,116.5669331103679,227.4169331103679,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T122745Z\scenevideo.mp4
21,3.0,958,5725,data_eye\21_3.0_19.194703989867005.pkl,2022-10-26 13:58:00.996,2022-10-26 13:59:36.519,2022-10-26 13:57:34,2022-10-26 14:01:48.871978,-7.801296,2022-10-26 13:57:41.801296,2022-10-26 14:01:56.673274,19.194703989867005,114.717703989867,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T125734Z\scenevideo.mp4
21,5.0,6906,11550,data_eye\21_5.0_138.38070398986702.pkl,2022-10-26 14:00:00.182,2022-10-26 14:01:34.690,2022-10-26 13:57:34,2022-10-26 14:01:48.871978,-7.801296,2022-10-26 13:57:41.801296,2022-10-26 14:01:56.673274,138.38070398986702,232.888703989867,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T125734Z\scenevideo.mp4
21,4.0,492,4556,data_eye\21_4.0_9.857839209125475.pkl,2022-10-26 14:03:12.366,2022-10-26 14:04:33.804,2022-10-26 14:02:51,2022-10-26 14:07:16.511118,-11.508161,2022-10-26 14:03:02.508161,2022-10-26 14:07:28.019279,9.857839209125475,91.29583920912548,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T130251Z\scenevideo.mp4
21,8.0,4749,10387,data_eye\21_8.0_95.15583920912547.pkl,2022-10-26 14:04:37.664,2022-10-26 14:06:33.803,2022-10-26 14:02:51,2022-10-26 14:07:16.511118,-11.508161,2022-10-26 14:03:02.508161,2022-10-26 14:07:28.019279,95.15583920912547,211.29483920912548,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T130251Z\scenevideo.mp4
22,3.0,1216,5187,data_eye\22_3.0_24.364068777374545.pkl,2022-10-26 14:23:51.764,2022-10-26 14:25:11.328,2022-10-26 14:23:28,2022-10-26 14:34:08.498144,0.600069,2022-10-26 14:23:27.399931,2022-10-26 14:34:07.898075,24.364068777374545,103.92806877737453,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T132328Z\scenevideo.mp4
22,5.0,27484,31967,data_eye\22_5.0_550.6850687773746.pkl,2022-10-26 14:32:38.085,2022-10-26 14:34:19.879,2022-10-26 14:23:28,2022-10-26 14:34:08.498144,0.600069,2022-10-26 14:23:27.399931,2022-10-26 14:34:07.898075,550.6850687773746,652.4790687773746,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T132328Z\scenevideo.mp4
22,4,359,4276,data_eye\22_4_7.213050136736554.pkl,2022-10-26 14:37:23.539,2022-10-26 14:38:42.013,2022-10-26 14:37:02,2022-10-26 14:41:26.724795,-14.32595,2022-10-26 14:37:16.325950,2022-10-26 14:41:41.050745,7.213050136736554,85.68705013673656,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T133702Z\scenevideo.mp4
22,8.0,7069,12747,data_eye\22_8.0_141.64405013673652.pkl,2022-10-26 14:39:37.970,2022-10-26 14:41:31.751,2022-10-26 14:37:02,2022-10-26 14:41:26.724795,-14.32595,2022-10-26 14:37:16.325950,2022-10-26 14:41:41.050745,141.64405013673652,255.42505013673653,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T133702Z\scenevideo.mp4
24,3.0,2237,6664,data_eye\24_3.0_44.84111234196267.pkl,2022-10-26 15:37:36.579,2022-10-26 15:39:05.282,2022-10-26 15:37:12,2022-10-26 15:41:38.305980,20.262112,2022-10-26 15:36:51.737888,2022-10-26 15:41:18.043868,44.84111234196267,133.54411234196266,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T143712Z\scenevideo.mp4
24,5.0,9713,13291,data_eye\24_5.0_194.6271123419627.pkl,2022-10-26 15:40:06.365,2022-10-26 15:41:39.583,2022-10-26 15:37:12,2022-10-26 15:41:38.305980,20.262112,2022-10-26 15:36:51.737888,2022-10-26 15:41:18.043868,194.6271123419627,287.8451123419627,True,False,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T143712Z\scenevideo.mp4
24,4.0,1080,5218,data_eye\24_4.0_21.639149363065233.pkl,2022-10-26 15:43:06.565,2022-10-26 15:44:29.473,2022-10-26 15:42:35,2022-10-26 16:09:28.821509,-9.925851,2022-10-26 15:42:44.925851,2022-10-26 16:09:38.747360,21.639149363065233,104.54714936306523,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T144235Z\scenevideo.mp4
24,8.0,5427,10193,data_eye\24_8.0_108.72214936306523.pkl,2022-10-26 15:44:33.648,2022-10-26 15:46:09.153,2022-10-26 15:42:35,2022-10-26 16:09:28.821509,-9.925851,2022-10-26 15:42:44.925851,2022-10-26 16:09:38.747360,108.72214936306523,204.22714936306522,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T144235Z\scenevideo.mp4
25,3.0,12496,12665,data_eye\25_3.0_250.3727850892434.pkl,2022-10-26 16:25:44.477,2022-10-26 16:27:02.754,2022-10-26 16:25:16,2022-10-26 16:29:29.756939,221.895785,2022-10-26 16:21:34.104215,2022-10-26 16:25:47.861154,250.3727850892434,328.6497850892434,False,False,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T152516Z\scenevideo.mp4
