epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,1316.8,1.16755,0.96651,1.08957,0.93678,0.97609,0.98894,0.70211,1.05655,1.06576,1.07265,0.00125923,0.00125923,0.00125923
14,1419.68,1.16802,0.94776,1.10593,0.94809,0.94862,0.98548,0.68042,1.05386,1.06222,1.06652,0.00124509,0.00124509,0.00124509
15,1521.17,1.19316,0.98759,1.10825,0.98501,0.96667,0.98944,0.73026,0.9876,1.00344,1.05031,0.00123094,0.00123094,0.00123094
16,1623.4,1.20551,0.91081,1.10905,0.91836,0.97013,0.995,0.73886,1.00226,0.90293,1.09055,0.00121679,0.00121679,0.00121679
17,1726,1.14388,0.90585,1.07112,0.98711,0.9684,0.995,0.76309,0.94205,0.79864,1.07371,0.00120265,0.00120265,0.00120265
18,1828.07,1.14164,0.8738,1.07355,0.97608,0.94001,0.98731,0.75285,0.94327,0.82716,1.03766,0.0011885,0.0011885,0.0011885
19,1929.27,1.13247,0.88529,1.0928,0.98909,0.97989,0.995,0.73745,1.00312,0.76767,1.05685,0.00117435,0.00117435,0.00117435
20,2033.15,1.12909,0.85432,1.05909,0.9614,0.95579,0.995,0.712,1.10758,0.76531,1.07759,0.00116021,0.00116021,0.00116021
21,2136.35,1.11974,0.82777,1.07238,0.94392,0.96121,0.98944,0.76948,0.94534,0.74217,1.05741,0.00114606,0.00114606,0.00114606
22,2242.11,1.09753,0.80456,1.05579,0.95789,0.95837,0.99197,0.7483,0.98717,0.67089,1.04565,0.00113191,0.00113191,0.00113191
23,2355.19,1.0931,0.7945,1.06961,0.97266,0.96667,0.99197,0.73725,1.01772,0.68399,1.05114,0.00111776,0.00111776,0.00111776
24,2466.78,1.09701,0.79075,1.07103,0.98272,0.97157,0.995,0.75522,0.92955,0.71074,1.02708,0.00110362,0.00110362,0.00110362
