time,class,AOI,xmax,xmin,ymax,ymin
368.343988,1,reer mirror,tensor(981.0147),tensor(626.1556),tensor(295.7567),tensor(166.5971)
368.343988,2,side mirror,tensor(1715.4478),tensor(1505.5748),tensor(443.7196),tensor(308.1779)
368.343988,0,speed,tensor(1170.6677),tensor(1043.7925),tensor(526.0009),tensor(430.2805)
368.38406051168306,1,reer mirror,tensor(983.8647),tensor(630.9267),tensor(295.6451),tensor(166.3764)
368.38406051168306,2,side mirror,tensor(1718.7709),tensor(1505.9452),tensor(442.1867),tensor(309.0364)
368.38406051168306,0,speed,tensor(1175.2883),tensor(1045.4388),tensor(526.2236),tensor(430.8399)
368.42413302336615,1,reer mirror,tensor(985.6143),tensor(634.7023),tensor(295.1292),tensor(166.1608)
368.42413302336615,2,side mirror,tensor(1721.5365),tensor(1509.7637),tensor(442.8948),tensor(306.8680)
368.42413302336615,0,speed,tensor(1177.9052),tensor(1047.0674),tensor(526.3230),tensor(428.4475)
368.42413302336615,2,side mirror,tensor(30.4607),tensor(0.),tensor(652.5187),tensor(512.0889)
368.4642055350492,1,reer mirror,tensor(986.4694),tensor(636.5147),tensor(295.0581),tensor(164.9770)
368.4642055350492,2,side mirror,tensor(1723.1206),tensor(1511.6462),tensor(443.8070),tensor(307.5131)
368.4642055350492,0,speed,tensor(1177.0643),tensor(1049.0414),tensor(524.6551),tensor(427.9198)
368.4642055350492,2,side mirror,tensor(26.7279),tensor(0.),tensor(648.0264),tensor(523.8877)
368.5042780467323,1,reer mirror,tensor(987.0836),tensor(637.2078),tensor(294.5582),tensor(164.9718)
368.5042780467323,2,side mirror,tensor(1723.9182),tensor(1517.3167),tensor(442.1133),tensor(309.5643)
368.5042780467323,0,speed,tensor(1181.1190),tensor(1049.6301),tensor(522.7118),tensor(426.8335)
368.5443505584153,1,reer mirror,tensor(987.8698),tensor(637.7753),tensor(294.5267),tensor(165.8260)
368.5443505584153,2,side mirror,tensor(1723.9945),tensor(1519.1987),tensor(443.2144),tensor(310.0150)
368.5443505584153,0,speed,tensor(1183.3218),tensor(1050.2773),tensor(524.8226),tensor(429.9171)
368.5443505584153,2,side mirror,tensor(27.9906),tensor(0.),tensor(641.4429),tensor(527.0692)
368.58442307009835,1,reer mirror,tensor(988.1255),tensor(638.0334),tensor(294.6625),tensor(166.4663)
368.58442307009835,2,side mirror,tensor(1724.4863),tensor(1519.1980),tensor(443.4105),tensor(310.7013)
368.58442307009835,0,speed,tensor(1182.3563),tensor(1050.1022),tensor(525.1196),tensor(429.7822)
