time,class,AOI,xmax,xmin,ymax,ymin
612.179973,2,side mirror,tensor(374.9600),tensor(145.4160),tensor(625.3514),tensor(469.4595)
612.179973,1,reer mirror,tensor(1150.3484),tensor(830.2753),tensor(350.4178),tensor(238.3283)
612.179973,0,speed,tensor(1333.6920),tensor(1203.3077),tensor(575.9523),tensor(484.1044)
612.179973,2,side mirror,tensor(1919.7130),tensor(1714.7759),tensor(520.5533),tensor(347.2142)
612.2200454778047,2,side mirror,tensor(374.4755),tensor(145.8021),tensor(625.3839),tensor(470.3542)
612.2200454778047,1,reer mirror,tensor(1151.5753),tensor(829.6932),tensor(350.5443),tensor(239.1554)
612.2200454778047,0,speed,tensor(1333.8004),tensor(1203.2469),tensor(575.9241),tensor(484.3688)
612.2200454778047,2,side mirror,tensor(1918.9746),tensor(1714.5264),tensor(523.2889),tensor(346.7573)
612.2601179556094,2,side mirror,tensor(374.2926),tensor(147.4314),tensor(624.7681),tensor(470.5121)
612.2601179556094,1,reer mirror,tensor(1151.2102),tensor(830.1063),tensor(350.3322),tensor(238.0111)
612.2601179556094,0,speed,tensor(1334.2632),tensor(1203.2642),tensor(576.3594),tensor(484.2845)
612.2601179556094,2,side mirror,tensor(1918.3748),tensor(1714.0393),tensor(526.3510),tensor(346.8673)
612.3001904334141,2,side mirror,tensor(373.5144),tensor(151.1462),tensor(625.2243),tensor(470.2710)
612.3001904334141,1,reer mirror,tensor(1154.0094),tensor(831.7903),tensor(353.2219),tensor(237.8747)
612.3001904334141,0,speed,tensor(1328.9637),tensor(1204.0052),tensor(575.6497),tensor(484.7673)
612.3001904334141,2,side mirror,tensor(1919.6210),tensor(1713.6742),tensor(528.9368),tensor(348.8860)
612.3402629112187,2,side mirror,tensor(374.9697),tensor(152.3663),tensor(625.1761),tensor(471.0995)
612.3402629112187,1,reer mirror,tensor(1152.4147),tensor(833.4879),tensor(350.7773),tensor(237.9342)
612.3402629112187,0,speed,tensor(1329.0106),tensor(1203.4332),tensor(575.6917),tensor(484.9313)
612.3402629112187,2,side mirror,tensor(1920.),tensor(1714.1354),tensor(526.8796),tensor(348.6324)
612.3803353890235,2,side mirror,tensor(374.9496),tensor(151.7639),tensor(625.0532),tensor(471.2390)
612.3803353890235,1,reer mirror,tensor(1152.0865),tensor(829.8642),tensor(351.4134),tensor(237.3669)
612.3803353890235,0,speed,tensor(1329.7855),tensor(1203.8683),tensor(575.7807),tensor(484.3741)
612.3803353890235,2,side mirror,tensor(1920.),tensor(1714.2162),tensor(522.0812),tensor(347.5570)
612.4204078668281,2,side mirror,tensor(375.7139),tensor(153.1171),tensor(620.2797),tensor(470.6058)
612.4204078668281,1,reer mirror,tensor(1152.3375),tensor(830.2574),tensor(351.2025),tensor(237.0015)
612.4204078668281,0,speed,tensor(1328.9799),tensor(1203.2684),tensor(574.1154),tensor(485.6140)
612.4204078668281,2,side mirror,tensor(1920.),tensor(1715.6909),tensor(519.0241),tensor(346.4148)
612.4604803446327,2,side mirror,tensor(376.9409),tensor(154.1866),tensor(624.5811),tensor(472.5944)
612.4604803446327,1,reer mirror,tensor(1151.1263),tensor(833.1297),tensor(353.2877),tensor(238.4121)
612.4604803446327,0,speed,tensor(1331.5068),tensor(1200.5050),tensor(572.1390),tensor(480.2711)
612.4604803446327,2,side mirror,tensor(1918.8186),tensor(1714.1151),tensor(523.0999),tensor(353.2305)
612.5005528224375,2,side mirror,tensor(377.4587),tensor(154.9937),tensor(626.2274),tensor(473.2027)
612.5005528224375,1,reer mirror,tensor(1150.9508),tensor(833.1014),tensor(353.7887),tensor(238.8831)
612.5005528224375,0,speed,tensor(1325.9570),tensor(1201.0895),tensor(573.4836),tensor(481.3127)
612.5005528224375,2,side mirror,tensor(1919.1333),tensor(1712.7365),tensor(533.8975),tensor(356.7584)
612.5406253002421,2,side mirror,tensor(375.3220),tensor(150.7509),tensor(623.6737),tensor(472.9198)
612.5406253002421,1,reer mirror,tensor(1152.1356),tensor(831.4111),tensor(353.6284),tensor(239.0507)
612.5406253002421,0,speed,tensor(1329.0167),tensor(1201.8351),tensor(572.6647),tensor(480.8336)
612.5406253002421,2,side mirror,tensor(1919.3540),tensor(1712.2203),tensor(536.0859),tensor(351.6220)
612.5806977780468,2,side mirror,tensor(377.3825),tensor(154.3338),tensor(626.6920),tensor(476.3319)
612.5806977780468,1,reer mirror,tensor(1152.6750),tensor(832.5471),tensor(354.1367),tensor(240.1108)
612.5806977780468,0,speed,tensor(1326.1453),tensor(1205.7737),tensor(576.2846),tensor(484.4997)
612.5806977780468,2,side mirror,tensor(1915.6908),tensor(1712.2577),tensor(538.7964),tensor(360.2230)
612.6207702558515,2,side mirror,tensor(375.3789),tensor(150.7850),tensor(624.5123),tensor(476.2176)
612.6207702558515,1,reer mirror,tensor(1151.5997),tensor(832.1489),tensor(354.4330),tensor(238.8853)
612.6207702558515,0,speed,tensor(1327.4868),tensor(1206.5643),tensor(576.5171),tensor(484.7670)
612.6207702558515,2,side mirror,tensor(1917.5753),tensor(1712.8627),tensor(528.6053),tensor(358.3510)
612.6608427336562,2,side mirror,tensor(375.2812),tensor(150.8247),tensor(624.7928),tensor(476.6071)
612.6608427336562,1,reer mirror,tensor(1151.6045),tensor(832.7752),tensor(353.3220),tensor(238.2859)
612.6608427336562,0,speed,tensor(1328.8657),tensor(1206.5238),tensor(577.1904),tensor(484.3996)
612.6608427336562,2,side mirror,tensor(1916.8591),tensor(1713.8977),tensor(521.4368),tensor(355.2291)
612.7009152114608,2,side mirror,tensor(375.5047),tensor(150.6752),tensor(625.2744),tensor(476.1326)
612.7009152114608,1,reer mirror,tensor(1150.9845),tensor(831.1990),tensor(354.1910),tensor(238.9794)
612.7009152114608,0,speed,tensor(1329.6115),tensor(1206.2976),tensor(577.0688),tensor(484.4680)
612.7009152114608,2,side mirror,tensor(1917.8054),tensor(1713.6765),tensor(523.1708),tensor(353.1216)
612.7409876892656,2,side mirror,tensor(378.7071),tensor(155.4899),tensor(626.9566),tensor(476.3119)
612.7409876892656,1,reer mirror,tensor(1151.4678),tensor(830.3176),tensor(354.0773),tensor(238.9525)
612.7409876892656,0,speed,tensor(1330.0508),tensor(1205.6005),tensor(577.2508),tensor(483.5676)
612.7409876892656,2,side mirror,tensor(1917.2791),tensor(1713.9961),tensor(519.0572),tensor(354.3640)
612.7810601670702,1,reer mirror,tensor(1150.9528),tensor(831.4578),tensor(354.4122),tensor(238.7790)
612.7810601670702,2,side mirror,tensor(377.1856),tensor(154.4482),tensor(626.9986),tensor(477.5569)
612.7810601670702,0,speed,tensor(1332.5251),tensor(1205.9744),tensor(577.0401),tensor(484.3565)
612.7810601670702,2,side mirror,tensor(1916.8943),tensor(1713.7765),tensor(518.7173),tensor(351.9356)
612.8211326448749,2,side mirror,tensor(375.2075),tensor(149.7001),tensor(625.0820),tensor(476.3478)
612.8211326448749,1,reer mirror,tensor(1150.7378),tensor(831.5729),tensor(354.9189),tensor(239.3327)
612.8211326448749,0,speed,tensor(1335.7675),tensor(1206.7244),tensor(577.5608),tensor(486.7535)
612.8211326448749,2,side mirror,tensor(1917.3014),tensor(1714.5568),tensor(519.2734),tensor(352.9290)
612.8612051226796,1,reer mirror,tensor(1152.4658),tensor(830.4712),tensor(357.3472),tensor(242.7527)
612.8612051226796,2,side mirror,tensor(374.5523),tensor(150.8959),tensor(628.6890),tensor(482.4132)
612.8612051226796,0,speed,tensor(1335.9507),tensor(1204.8804),tensor(581.7054),tensor(488.8466)
612.8612051226796,2,side mirror,tensor(1918.6440),tensor(1714.5115),tensor(522.1998),tensor(353.6624)
612.9012776004843,2,side mirror,tensor(377.2946),tensor(155.5409),tensor(632.9184),tensor(486.0228)
612.9012776004843,0,speed,tensor(1324.5890),tensor(1204.1154),tensor(586.2170),tensor(494.6577)
612.9012776004843,1,reer mirror,tensor(1151.5745),tensor(833.2159),tensor(360.6871),tensor(247.8249)
612.9012776004843,2,side mirror,tensor(1920.),tensor(1713.7690),tensor(533.7244),tensor(358.9545)
612.9413500782889,2,side mirror,tensor(378.9478),tensor(154.2460),tensor(634.5366),tensor(488.0129)
612.9413500782889,0,speed,tensor(1324.5475),tensor(1202.3722),tensor(588.4736),tensor(495.6570)
612.9413500782889,1,reer mirror,tensor(1149.6295),tensor(833.8608),tensor(363.2779),tensor(250.0632)
612.9814225560937,2,side mirror,tensor(375.2034),tensor(149.6578),tensor(629.1914),tensor(482.7934)
612.9814225560937,1,reer mirror,tensor(1150.1017),tensor(834.2195),tensor(360.8542),tensor(248.4058)
612.9814225560937,0,speed,tensor(1327.5366),tensor(1203.0765),tensor(586.5035),tensor(496.3942)
612.9814225560937,2,side mirror,tensor(1920.),tensor(1711.3284),tensor(536.2103),tensor(356.8205)
613.0214950338983,1,reer mirror,tensor(1152.1671),tensor(834.8253),tensor(358.8898),tensor(246.5616)
613.0214950338983,2,side mirror,tensor(378.1734),tensor(153.3135),tensor(632.1861),tensor(483.2197)
613.0214950338983,0,speed,tensor(1328.9802),tensor(1203.8558),tensor(583.7113),tensor(494.5115)
613.0214950338983,2,side mirror,tensor(1920.),tensor(1710.9254),tensor(526.5048),tensor(354.3636)
613.0615675117031,2,side mirror,tensor(375.0465),tensor(150.6747),tensor(628.3290),tensor(482.3639)
613.0615675117031,1,reer mirror,tensor(1155.0465),tensor(833.2771),tensor(359.0808),tensor(245.6705)
613.0615675117031,0,speed,tensor(1331.2555),tensor(1204.0939),tensor(581.6536),tensor(492.0864)
613.0615675117031,2,side mirror,tensor(1920.),tensor(1712.3335),tensor(534.4543),tensor(355.9818)
613.1016399895077,2,side mirror,tensor(376.4333),tensor(148.8054),tensor(626.8151),tensor(486.2782)
613.1016399895077,1,reer mirror,tensor(1158.9771),tensor(831.6921),tensor(357.7585),tensor(244.0906)
613.1016399895077,0,speed,tensor(1327.1371),tensor(1205.6685),tensor(582.0044),tensor(491.7700)
613.1016399895077,2,side mirror,tensor(1920.),tensor(1712.7397),tensor(535.9078),tensor(355.3410)
613.1417124673123,2,side mirror,tensor(375.5612),tensor(150.1176),tensor(626.7762),tensor(485.2061)
613.1417124673123,1,reer mirror,tensor(1162.0485),tensor(831.8240),tensor(358.8643),tensor(245.2783)
613.1417124673123,0,speed,tensor(1328.4956),tensor(1207.0400),tensor(579.9275),tensor(491.0092)
613.1417124673123,2,side mirror,tensor(1920.),tensor(1712.0134),tensor(535.6745),tensor(355.9934)
613.1817849451171,2,side mirror,tensor(375.6027),tensor(151.3257),tensor(626.4739),tensor(485.0748)
613.1817849451171,1,reer mirror,tensor(1161.7753),tensor(831.9315),tensor(358.9378),tensor(243.8559)
613.1817849451171,0,speed,tensor(1331.5287),tensor(1207.2301),tensor(579.8507),tensor(491.3868)
613.1817849451171,2,side mirror,tensor(1917.4761),tensor(1715.0823),tensor(533.9323),tensor(359.7792)
613.2218574229217,2,side mirror,tensor(375.9193),tensor(150.2189),tensor(626.2505),tensor(481.9585)
613.2218574229217,1,reer mirror,tensor(1163.3217),tensor(831.3580),tensor(357.7088),tensor(244.1336)
613.2218574229217,0,speed,tensor(1337.0121),tensor(1207.4584),tensor(579.4835),tensor(491.1616)
613.2218574229217,2,side mirror,tensor(1918.7275),tensor(1713.1364),tensor(532.2214),tensor(360.3414)
613.2619299007264,2,side mirror,tensor(375.9557),tensor(150.9881),tensor(625.8921),tensor(482.4013)
613.2619299007264,1,reer mirror,tensor(1162.1151),tensor(831.9256),tensor(358.1324),tensor(243.2113)
613.2619299007264,0,speed,tensor(1336.8959),tensor(1208.2543),tensor(579.4818),tensor(490.9340)
613.2619299007264,2,side mirror,tensor(1920.),tensor(1710.4980),tensor(538.8818),tensor(355.1740)
613.3020023785311,2,side mirror,tensor(375.5502),tensor(150.5628),tensor(625.3917),tensor(484.2077)
613.3020023785311,1,reer mirror,tensor(1159.3445),tensor(831.8538),tensor(357.6853),tensor(243.1532)
613.3020023785311,2,side mirror,tensor(1918.2363),tensor(1714.0195),tensor(540.1359),tensor(356.1716)
613.3020023785311,0,speed,tensor(1342.3751),tensor(1207.9780),tensor(580.2341),tensor(489.4715)
613.3420748563358,2,side mirror,tensor(375.5953),tensor(152.2736),tensor(624.1399),tensor(483.5273)
613.3420748563358,1,reer mirror,tensor(1159.0602),tensor(832.5081),tensor(357.5577),tensor(243.9499)
613.3420748563358,0,speed,tensor(1336.8297),tensor(1206.4224),tensor(579.2073),tensor(488.6309)
613.3420748563358,2,side mirror,tensor(1918.3715),tensor(1714.6458),tensor(536.4088),tensor(356.9212)
613.3821473341404,2,side mirror,tensor(375.5945),tensor(151.9349),tensor(624.7299),tensor(482.0914)
613.3821473341404,1,reer mirror,tensor(1160.4138),tensor(832.3768),tensor(358.3921),tensor(243.8372)
613.3821473341404,0,speed,tensor(1334.2284),tensor(1206.5200),tensor(579.2314),tensor(488.4498)
613.3821473341404,2,side mirror,tensor(1918.7618),tensor(1713.8339),tensor(535.8214),tensor(357.5034)
613.4222198119452,1,reer mirror,tensor(1155.4612),tensor(831.5609),tensor(357.4487),tensor(245.1946)
613.4222198119452,2,side mirror,tensor(375.5053),tensor(152.2236),tensor(621.6517),tensor(481.0987)
613.4222198119452,0,speed,tensor(1337.8458),tensor(1206.6099),tensor(579.8703),tensor(488.1464)
613.4222198119452,2,side mirror,tensor(1918.5231),tensor(1713.9716),tensor(536.8904),tensor(357.3179)
613.4622922897498,2,side mirror,tensor(376.1015),tensor(150.9093),tensor(624.6108),tensor(479.5234)
613.4622922897498,1,reer mirror,tensor(1159.6979),tensor(832.2341),tensor(356.8492),tensor(243.6989)
613.4622922897498,0,speed,tensor(1339.4788),tensor(1209.1329),tensor(578.4646),tensor(489.5766)
613.4622922897498,2,side mirror,tensor(1920.),tensor(1709.9722),tensor(540.3801),tensor(352.8726)
613.5023647675545,2,side mirror,tensor(375.6487),tensor(153.7204),tensor(624.0792),tensor(480.0546)
613.5023647675545,1,reer mirror,tensor(1160.5962),tensor(833.2114),tensor(357.5146),tensor(243.1840)
613.5023647675545,0,speed,tensor(1342.0140),tensor(1209.1139),tensor(579.3638),tensor(488.9503)
613.5023647675545,2,side mirror,tensor(1917.8146),tensor(1714.2006),tensor(538.2166),tensor(356.3893)
613.5424372453592,2,side mirror,tensor(376.6239),tensor(152.8346),tensor(624.3209),tensor(481.0204)
613.5424372453592,1,reer mirror,tensor(1159.6571),tensor(833.2599),tensor(357.3580),tensor(243.1604)
613.5424372453592,0,speed,tensor(1348.5071),tensor(1209.0562),tensor(580.0928),tensor(488.8627)
613.5424372453592,2,side mirror,tensor(1920.),tensor(1717.7036),tensor(531.5700),tensor(353.7762)
613.5825097231639,2,side mirror,tensor(376.2277),tensor(153.8543),tensor(624.7593),tensor(480.8613)
613.5825097231639,1,reer mirror,tensor(1158.9089),tensor(833.8654),tensor(357.7218),tensor(243.4114)
613.5825097231639,0,speed,tensor(1342.7754),tensor(1209.2085),tensor(579.1562),tensor(490.0719)
