time,class,AOI,xmax,xmin,ymax,ymin
175.798836,2,side mirror,tensor(70.0164),tensor(0.5337),tensor(396.5439),tensor(216.5293)
175.798836,1,reer mirror,tensor(1102.4298),tensor(728.2831),tensor(210.1156),tensor(85.2732)
175.798836,0,speed,tensor(1255.6353),tensor(1137.5194),tensor(489.4094),tensor(389.3859)
175.798836,2,side mirror,tensor(1920.),tensor(1708.3462),tensor(394.6677),tensor(228.6451)
175.83890848603352,2,side mirror,tensor(70.0638),tensor(0.5527),tensor(396.8834),tensor(216.3137)
175.83890848603352,1,reer mirror,tensor(1102.7250),tensor(728.2646),tensor(209.9624),tensor(84.9013)
175.83890848603352,0,speed,tensor(1256.0295),tensor(1138.0345),tensor(489.4012),tensor(389.2571)
175.83890848603352,2,side mirror,tensor(1920.),tensor(1708.2306),tensor(394.6471),tensor(228.6207)
175.87898097206704,2,side mirror,tensor(64.9106),tensor(0.4067),tensor(394.3787),tensor(213.2475)
175.87898097206704,1,reer mirror,tensor(1099.4819),tensor(726.8792),tensor(209.1931),tensor(84.2324)
175.87898097206704,0,speed,tensor(1257.3663),tensor(1137.6176),tensor(487.8835),tensor(387.8912)
175.87898097206704,2,side mirror,tensor(1920.),tensor(1705.5289),tensor(393.9063),tensor(226.1959)
175.91905345810056,2,side mirror,tensor(64.6326),tensor(0.4154),tensor(390.6660),tensor(210.2065)
175.91905345810056,0,speed,tensor(1262.9595),tensor(1139.3798),tensor(478.2697),tensor(382.0817)
175.91905345810056,1,reer mirror,tensor(1100.9353),tensor(726.5228),tensor(202.1713),tensor(72.2177)
175.91905345810056,2,side mirror,tensor(1920.),tensor(1709.9961),tensor(388.0748),tensor(220.1780)
175.9591259441341,2,side mirror,tensor(56.6895),tensor(0.5219),tensor(378.3669),tensor(207.6827)
175.9591259441341,0,speed,tensor(1256.2517),tensor(1135.0597),tensor(474.3843),tensor(371.2437)
175.9591259441341,1,reer mirror,tensor(1101.2428),tensor(720.8361),tensor(189.8285),tensor(63.0968)
175.9591259441341,2,side mirror,tensor(1920.),tensor(1706.9026),tensor(382.7998),tensor(209.1984)
175.99919843016758,0,speed,tensor(1253.1000),tensor(1131.2004),tensor(467.0397),tensor(367.0941)
175.99919843016758,1,reer mirror,tensor(1094.4562),tensor(722.4173),tensor(183.3314),tensor(53.8893)
175.99919843016758,2,side mirror,tensor(47.9904),tensor(0.2773),tensor(373.9221),tensor(219.6167)
175.99919843016758,2,side mirror,tensor(1919.2789),tensor(1695.3827),tensor(374.6893),tensor(209.1422)
176.0392709162011,0,speed,tensor(1244.8604),tensor(1126.4867),tensor(461.9216),tensor(362.9072)
176.0392709162011,1,reer mirror,tensor(1090.7662),tensor(796.5692),tensor(176.6332),tensor(35.2645)
176.0392709162011,2,side mirror,tensor(1916.2900),tensor(1690.2606),tensor(367.2568),tensor(200.6710)
176.0392709162011,2,side mirror,tensor(35.9328),tensor(0.0115),tensor(362.3419),tensor(231.4844)
176.07934340223463,0,speed,tensor(1241.2800),tensor(1117.0320),tensor(453.2662),tensor(357.1811)
176.07934340223463,1,reer mirror,tensor(1088.1302),tensor(780.7933),tensor(168.5558),tensor(26.6341)
176.07934340223463,2,side mirror,tensor(1916.5907),tensor(1678.0248),tensor(362.9252),tensor(190.5082)
176.11941588826815,0,speed,tensor(1239.8499),tensor(1112.3892),tensor(449.9576),tensor(349.3115)
176.11941588826815,1,reer mirror,tensor(1084.4180),tensor(781.5841),tensor(165.4700),tensor(17.6135)
176.11941588826815,2,side mirror,tensor(1917.2388),tensor(1677.9258),tensor(354.5986),tensor(180.0761)
