time,class,AOI,xmax,xmin,ymax,ymin
161.89062,2,side mirror,tensor(1919.9242),tensor(1784.1434),tensor(343.1653),tensor(171.8819)
161.89062,1,reer mirror,tensor(1171.2905),tensor(808.2089),tensor(142.7981),tensor(7.8134)
161.89062,2,side mirror,tensor(208.2123),tensor(0.7821),tensor(301.2969),tensor(111.3264)
161.89062,0,speed,tensor(1287.4490),tensor(1175.6162),tensor(420.6010),tensor(318.6180)
161.89062,2,side mirror,tensor(1920.),tensor(1768.5216),tensor(964.1391),tensor(759.5217)
161.9306925448582,2,side mirror,tensor(1919.9235),tensor(1784.2013),tensor(342.6762),tensor(171.8533)
161.9306925448582,1,reer mirror,tensor(1171.2194),tensor(806.9839),tensor(142.8125),tensor(7.7860)
161.9306925448582,2,side mirror,tensor(207.7709),tensor(0.7404),tensor(299.5507),tensor(111.6280)
161.9306925448582,0,speed,tensor(1286.8374),tensor(1174.5713),tensor(421.1555),tensor(317.2457)
161.9707650897164,2,side mirror,tensor(1919.9067),tensor(1785.2078),tensor(340.0862),tensor(169.6726)
161.9707650897164,1,reer mirror,tensor(1171.0812),tensor(805.9374),tensor(141.0249),tensor(5.7045)
161.9707650897164,0,speed,tensor(1293.0380),tensor(1174.2913),tensor(420.6405),tensor(314.3268)
161.9707650897164,2,side mirror,tensor(207.3847),tensor(0.9794),tensor(295.7685),tensor(112.7345)
162.01083763457459,1,reer mirror,tensor(1170.5234),tensor(805.5130),tensor(138.8954),tensor(1.5803)
162.01083763457459,2,side mirror,tensor(1919.8572),tensor(1786.8369),tensor(337.2367),tensor(166.1632)
162.01083763457459,2,side mirror,tensor(208.9161),tensor(0.6441),tensor(295.1476),tensor(112.4610)
162.01083763457459,0,speed,tensor(1291.8792),tensor(1172.4786),tensor(419.2040),tensor(313.3973)
162.01083763457459,2,side mirror,tensor(1920.),tensor(1774.8948),tensor(958.0469),tensor(748.1133)
162.05091017943278,1,reer mirror,tensor(1170.0481),tensor(805.7003),tensor(136.8731),tensor(0.)
162.05091017943278,2,side mirror,tensor(1919.7603),tensor(1785.6289),tensor(332.4170),tensor(163.0755)
162.05091017943278,2,side mirror,tensor(208.3296),tensor(0.8253),tensor(291.9823),tensor(113.8222)
162.05091017943278,0,speed,tensor(1282.6902),tensor(1172.0150),tensor(416.4683),tensor(312.3345)
162.09098272429097,1,reer mirror,tensor(1170.2448),tensor(808.9631),tensor(133.4535),tensor(0.)
162.09098272429097,2,side mirror,tensor(1919.7502),tensor(1783.5773),tensor(329.7248),tensor(156.8119)
162.09098272429097,0,speed,tensor(1288.2195),tensor(1167.2563),tensor(410.6780),tensor(310.6627)
162.09098272429097,2,side mirror,tensor(206.5838),tensor(0.5879),tensor(291.8694),tensor(108.1109)
162.13105526914916,1,reer mirror,tensor(1174.3129),tensor(811.0635),tensor(129.9233),tensor(0.)
162.13105526914916,2,side mirror,tensor(1919.6914),tensor(1780.9077),tensor(325.0542),tensor(150.7436)
162.13105526914916,0,speed,tensor(1293.7931),tensor(1177.1450),tensor(408.3704),tensor(306.7935)
162.13105526914916,2,side mirror,tensor(206.8007),tensor(0.7716),tensor(290.2674),tensor(103.0146)
162.13105526914916,2,side mirror,tensor(1920.),tensor(1763.4258),tensor(948.9304),tensor(743.8435)
162.17112781400735,1,reer mirror,tensor(1171.8311),tensor(801.8822),tensor(127.5883),tensor(0.)
162.17112781400735,2,side mirror,tensor(1919.6268),tensor(1780.6879),tensor(325.1301),tensor(148.3851)
162.17112781400735,0,speed,tensor(1279.3513),tensor(1174.1829),tensor(405.1730),tensor(306.4997)
162.17112781400735,2,side mirror,tensor(205.5604),tensor(0.8638),tensor(290.7275),tensor(102.5912)
162.17112781400735,2,side mirror,tensor(1920.),tensor(1761.3168),tensor(946.7377),tensor(735.5698)
162.21120035886554,1,reer mirror,tensor(1169.3782),tensor(799.1971),tensor(124.5198),tensor(0.)
162.21120035886554,2,side mirror,tensor(1919.6173),tensor(1780.6227),tensor(325.1812),tensor(147.2321)
162.21120035886554,0,speed,tensor(1276.1213),tensor(1174.2103),tensor(403.6039),tensor(305.3557)
162.21120035886554,2,side mirror,tensor(204.3864),tensor(0.6581),tensor(289.1246),tensor(101.9344)
162.25127290372373,1,reer mirror,tensor(1168.5732),tensor(801.4770),tensor(122.9507),tensor(0.)
162.25127290372373,2,side mirror,tensor(1919.9452),tensor(1783.6067),tensor(326.0798),tensor(145.3132)
162.25127290372373,0,speed,tensor(1277.2954),tensor(1174.8705),tensor(403.0202),tensor(306.8515)
162.25127290372373,2,side mirror,tensor(205.1638),tensor(0.8386),tensor(290.2124),tensor(100.2304)
162.29134544858192,1,reer mirror,tensor(1170.4478),tensor(803.7472),tensor(122.4655),tensor(0.)
162.29134544858192,2,side mirror,tensor(1919.9839),tensor(1784.5730),tensor(322.3911),tensor(146.0494)
162.29134544858192,0,speed,tensor(1284.1699),tensor(1169.5232),tensor(404.2595),tensor(300.8884)
162.29134544858192,2,side mirror,tensor(206.1785),tensor(0.7208),tensor(289.7633),tensor(99.6749)
162.3314179934401,1,reer mirror,tensor(1172.6455),tensor(808.5912),tensor(122.7318),tensor(0.)
162.3314179934401,2,side mirror,tensor(1919.9535),tensor(1785.3051),tensor(325.0727),tensor(144.6741)
162.3314179934401,0,speed,tensor(1288.0844),tensor(1173.7908),tensor(402.0679),tensor(299.1831)
162.3314179934401,2,side mirror,tensor(206.4212),tensor(0.7937),tensor(289.0481),tensor(100.8219)
162.3714905382983,1,reer mirror,tensor(1175.7229),tensor(809.9529),tensor(122.8514),tensor(0.)
162.3714905382983,2,side mirror,tensor(1919.9602),tensor(1786.8359),tensor(319.8236),tensor(146.0069)
162.3714905382983,0,speed,tensor(1292.5468),tensor(1174.7275),tensor(403.7802),tensor(300.9286)
162.3714905382983,2,side mirror,tensor(207.8074),tensor(0.6565),tensor(290.0529),tensor(100.5961)
162.4115630831565,1,reer mirror,tensor(1175.8250),tensor(809.7440),tensor(123.1656),tensor(0.)
162.4115630831565,2,side mirror,tensor(1919.9733),tensor(1786.8234),tensor(320.9065),tensor(146.7630)
162.4115630831565,0,speed,tensor(1292.8549),tensor(1174.3519),tensor(402.1802),tensor(300.5348)
162.4115630831565,2,side mirror,tensor(208.0544),tensor(0.5798),tensor(290.0672),tensor(101.9776)
162.45163562801469,1,reer mirror,tensor(1176.1187),tensor(807.9115),tensor(123.3326),tensor(0.)
162.45163562801469,2,side mirror,tensor(1919.9440),tensor(1786.7754),tensor(320.1461),tensor(145.4715)
162.45163562801469,0,speed,tensor(1293.0488),tensor(1175.3699),tensor(402.7787),tensor(300.5691)
162.45163562801469,2,side mirror,tensor(208.3847),tensor(0.7996),tensor(290.1128),tensor(101.4449)
162.49170817287288,1,reer mirror,tensor(1177.1431),tensor(808.2318),tensor(122.9919),tensor(0.)
162.49170817287288,2,side mirror,tensor(1919.9696),tensor(1788.5533),tensor(318.7087),tensor(145.6540)
162.49170817287288,0,speed,tensor(1295.0270),tensor(1179.3794),tensor(403.2987),tensor(298.1293)
162.49170817287288,2,side mirror,tensor(208.7662),tensor(0.7564),tensor(290.3305),tensor(102.3002)
162.53178071773107,1,reer mirror,tensor(1178.5168),tensor(808.7264),tensor(123.2986),tensor(0.)
162.53178071773107,2,side mirror,tensor(1919.9899),tensor(1788.7157),tensor(320.4633),tensor(146.2783)
162.53178071773107,0,speed,tensor(1293.5958),tensor(1181.4652),tensor(402.8418),tensor(302.5066)
162.53178071773107,2,side mirror,tensor(209.1326),tensor(0.8397),tensor(290.8066),tensor(102.2832)
162.57185326258926,1,reer mirror,tensor(1179.1329),tensor(811.1906),tensor(123.6945),tensor(0.)
162.57185326258926,2,side mirror,tensor(1919.9509),tensor(1789.8926),tensor(315.4007),tensor(146.7671)
162.57185326258926,0,speed,tensor(1287.5732),tensor(1174.1548),tensor(402.3150),tensor(311.1086)
162.57185326258926,2,side mirror,tensor(209.7170),tensor(1.1182),tensor(291.4874),tensor(101.9327)
162.57185326258926,2,side mirror,tensor(1920.),tensor(1779.1802),tensor(944.9513),tensor(735.)
162.61192580744745,2,side mirror,tensor(1919.8986),tensor(1789.8054),tensor(315.3375),tensor(146.3145)
162.61192580744745,1,reer mirror,tensor(1177.8560),tensor(805.9724),tensor(122.9780),tensor(0.2163)
162.61192580744745,2,side mirror,tensor(210.6689),tensor(0.9659),tensor(290.8777),tensor(102.5015)
162.61192580744745,0,speed,tensor(1290.7941),tensor(1175.4819),tensor(399.7551),tensor(306.8234)
162.61192580744745,2,side mirror,tensor(1920.),tensor(1771.5631),tensor(945.9921),tensor(733.3121)
162.65199835230564,1,reer mirror,tensor(1179.3619),tensor(814.6919),tensor(123.2694),tensor(0.)
162.65199835230564,2,side mirror,tensor(1919.9191),tensor(1793.9557),tensor(315.5548),tensor(147.0434)
162.65199835230564,2,side mirror,tensor(211.5693),tensor(1.0877),tensor(290.6676),tensor(103.4462)
162.65199835230564,0,speed,tensor(1291.8495),tensor(1180.8766),tensor(398.7593),tensor(305.7337)
162.69207089716383,1,reer mirror,tensor(1179.5544),tensor(816.0786),tensor(123.0616),tensor(0.)
162.69207089716383,2,side mirror,tensor(1919.9202),tensor(1804.2458),tensor(313.8406),tensor(144.8021)
162.69207089716383,2,side mirror,tensor(212.6424),tensor(1.1356),tensor(290.5401),tensor(102.9115)
162.69207089716383,0,speed,tensor(1292.1449),tensor(1180.4725),tensor(398.1515),tensor(302.8599)
162.73214344202202,1,reer mirror,tensor(1180.0804),tensor(816.1009),tensor(122.9442),tensor(0.)
162.73214344202202,2,side mirror,tensor(214.2849),tensor(1.0714),tensor(290.8308),tensor(102.8410)
162.73214344202202,2,side mirror,tensor(1919.9015),tensor(1806.0604),tensor(313.9767),tensor(144.8674)
162.73214344202202,0,speed,tensor(1293.4728),tensor(1182.0387),tensor(398.5737),tensor(303.3877)
162.77221598688018,1,reer mirror,tensor(1181.5911),tensor(813.6079),tensor(122.7366),tensor(0.)
162.77221598688018,2,side mirror,tensor(214.8756),tensor(0.8695),tensor(290.7686),tensor(102.6085)
162.77221598688018,2,side mirror,tensor(1919.8800),tensor(1809.1316),tensor(314.5940),tensor(143.1242)
162.77221598688018,0,speed,tensor(1298.2947),tensor(1182.6471),tensor(399.7250),tensor(303.3170)
162.81228853173837,1,reer mirror,tensor(1181.6265),tensor(815.3760),tensor(122.8157),tensor(0.)
162.81228853173837,2,side mirror,tensor(215.3871),tensor(0.6818),tensor(290.9019),tensor(102.4152)
162.81228853173837,2,side mirror,tensor(1919.9023),tensor(1813.0277),tensor(313.7437),tensor(143.4512)
162.81228853173837,0,speed,tensor(1299.6761),tensor(1183.4697),tensor(399.3735),tensor(301.3962)
162.85236107659657,1,reer mirror,tensor(1181.9459),tensor(815.5245),tensor(122.6057),tensor(0.)
162.85236107659657,2,side mirror,tensor(215.1973),tensor(0.5345),tensor(291.3004),tensor(101.6093)
162.85236107659657,0,speed,tensor(1300.3467),tensor(1183.7355),tensor(399.0274),tensor(301.3022)
162.85236107659657,2,side mirror,tensor(1919.8667),tensor(1813.6600),tensor(312.6411),tensor(143.4020)
162.89243362145476,1,reer mirror,tensor(1181.4403),tensor(816.6765),tensor(122.3980),tensor(0.)
162.89243362145476,0,speed,tensor(1301.6930),tensor(1183.4025),tensor(398.1758),tensor(299.0544)
162.89243362145476,2,side mirror,tensor(216.1042),tensor(0.6410),tensor(291.2458),tensor(100.5760)
162.89243362145476,2,side mirror,tensor(1919.8564),tensor(1809.4644),tensor(314.5507),tensor(142.2447)
162.93250616631295,1,reer mirror,tensor(1182.3590),tensor(817.0573),tensor(123.1970),tensor(0.)
162.93250616631295,0,speed,tensor(1302.3502),tensor(1185.7549),tensor(398.6780),tensor(302.5058)
162.93250616631295,2,side mirror,tensor(218.2470),tensor(0.7231),tensor(291.5254),tensor(100.3905)
162.93250616631295,2,side mirror,tensor(1919.8345),tensor(1817.6038),tensor(313.8375),tensor(140.9738)
162.97257871117114,1,reer mirror,tensor(1182.2578),tensor(816.8562),tensor(122.4306),tensor(0.)
162.97257871117114,0,speed,tensor(1301.8220),tensor(1184.9912),tensor(398.5399),tensor(304.9038)
162.97257871117114,2,side mirror,tensor(218.1925),tensor(1.0353),tensor(291.2014),tensor(100.0863)
162.97257871117114,2,side mirror,tensor(1919.8024),tensor(1818.1506),tensor(312.4081),tensor(140.9005)
163.01265125602933,1,reer mirror,tensor(1181.1046),tensor(816.3051),tensor(119.6067),tensor(0.)
163.01265125602933,2,side mirror,tensor(1919.7993),tensor(1813.7791),tensor(313.4512),tensor(140.9865)
163.01265125602933,0,speed,tensor(1298.6970),tensor(1183.3224),tensor(398.0493),tensor(302.2670)
163.01265125602933,2,side mirror,tensor(213.8302),tensor(1.0016),tensor(290.2127),tensor(100.7342)
163.05272380088752,1,reer mirror,tensor(1180.9143),tensor(814.1920),tensor(118.9759),tensor(0.)
163.05272380088752,2,side mirror,tensor(1919.8701),tensor(1812.6677),tensor(313.2412),tensor(141.3075)
163.05272380088752,2,side mirror,tensor(211.9087),tensor(0.6917),tensor(289.4792),tensor(100.4063)
163.05272380088752,0,speed,tensor(1295.4926),tensor(1181.8782),tensor(398.7901),tensor(301.6190)
163.0927963457457,1,reer mirror,tensor(1179.1113),tensor(808.8364),tensor(117.6103),tensor(0.)
163.0927963457457,2,side mirror,tensor(1919.8306),tensor(1811.8939),tensor(314.7426),tensor(140.6058)
163.0927963457457,0,speed,tensor(1295.4270),tensor(1182.1722),tensor(399.0279),tensor(301.2020)
163.0927963457457,2,side mirror,tensor(211.8071),tensor(1.0775),tensor(289.2950),tensor(100.1808)
163.1328688906039,1,reer mirror,tensor(1178.0845),tensor(809.9385),tensor(117.8705),tensor(0.)
163.1328688906039,2,side mirror,tensor(1919.8572),tensor(1809.7742),tensor(314.6204),tensor(141.1732)
163.1328688906039,0,speed,tensor(1295.2976),tensor(1184.2203),tensor(398.1656),tensor(302.9402)
163.1328688906039,2,side mirror,tensor(212.3110),tensor(0.9046),tensor(288.9512),tensor(100.5870)
163.1729414354621,1,reer mirror,tensor(1177.6469),tensor(808.9409),tensor(117.2048),tensor(0.)
163.1729414354621,2,side mirror,tensor(1919.8480),tensor(1807.6058),tensor(314.9084),tensor(138.8947)
163.1729414354621,0,speed,tensor(1293.7252),tensor(1180.3551),tensor(398.1830),tensor(302.2134)
163.1729414354621,2,side mirror,tensor(210.8898),tensor(0.7869),tensor(288.8646),tensor(100.6723)
163.21301398032028,1,reer mirror,tensor(1176.6730),tensor(807.3260),tensor(116.3577),tensor(0.)
163.21301398032028,2,side mirror,tensor(1919.8539),tensor(1799.6818),tensor(313.1976),tensor(138.7626)
163.21301398032028,0,speed,tensor(1294.0713),tensor(1179.0078),tensor(398.9088),tensor(304.1114)
163.21301398032028,2,side mirror,tensor(209.7559),tensor(0.9502),tensor(288.6043),tensor(100.2963)
163.25308652517847,1,reer mirror,tensor(1176.6006),tensor(808.3275),tensor(113.7827),tensor(0.)
163.25308652517847,0,speed,tensor(1292.1875),tensor(1175.0813),tensor(397.9904),tensor(302.9110)
