time,class,AOI,xmax,xmin,ymax,ymin
532.357892,0,speed,tensor(1293.7095),tensor(1177.4185),tensor(632.7717),tensor(547.2481)
532.357892,2,side mirror,tensor(1789.9677),tensor(1594.1613),tensor(609.4615),tensor(481.9690)
532.357892,2,side mirror,tensor(437.0351),tensor(241.3387),tensor(658.0756),tensor(517.2037)
532.3979644707957,2,side mirror,tensor(1790.5942),tensor(1594.2407),tensor(606.7255),tensor(480.5571)
532.3979644707957,0,speed,tensor(1293.4398),tensor(1177.3630),tensor(632.5883),tensor(546.8259)
532.3979644707957,2,side mirror,tensor(438.3673),tensor(240.8041),tensor(663.1404),tensor(516.5807)
532.4380369415913,2,side mirror,tensor(1790.5485),tensor(1592.8956),tensor(607.5079),tensor(479.1419)
532.4380369415913,0,speed,tensor(1290.4283),tensor(1176.2478),tensor(632.9046),tensor(547.5227)
532.4380369415913,2,side mirror,tensor(437.2804),tensor(228.9922),tensor(663.0085),tensor(513.4076)
532.4781094123871,2,side mirror,tensor(1789.7388),tensor(1592.6638),tensor(608.6073),tensor(480.7202)
532.4781094123871,0,speed,tensor(1293.5870),tensor(1176.2841),tensor(632.9676),tensor(546.5418)
532.4781094123871,2,side mirror,tensor(436.9821),tensor(228.6073),tensor(660.0927),tensor(512.6461)
532.5181818831827,2,side mirror,tensor(1790.4478),tensor(1592.9773),tensor(607.3890),tensor(480.7040)
532.5181818831827,0,speed,tensor(1292.2059),tensor(1177.5494),tensor(632.9138),tensor(547.2233)
532.5181818831827,2,side mirror,tensor(436.1019),tensor(228.4962),tensor(657.6140),tensor(510.6741)
532.5582543539784,2,side mirror,tensor(1790.8079),tensor(1594.0171),tensor(608.7438),tensor(481.7858)
532.5582543539784,0,speed,tensor(1290.5879),tensor(1177.5986),tensor(631.3907),tensor(546.9915)
532.5582543539784,2,side mirror,tensor(435.8695),tensor(231.1830),tensor(666.9830),tensor(509.3080)
532.5983268247741,2,side mirror,tensor(1790.0306),tensor(1594.6461),tensor(607.9732),tensor(482.5971)
532.5983268247741,0,speed,tensor(1289.0651),tensor(1177.4209),tensor(632.1475),tensor(546.8740)
532.5983268247741,2,side mirror,tensor(435.6735),tensor(234.0255),tensor(663.6602),tensor(509.4444)
532.6383992955698,2,side mirror,tensor(1789.4806),tensor(1592.1940),tensor(610.0812),tensor(483.4999)
532.6383992955698,0,speed,tensor(1289.8239),tensor(1177.4407),tensor(632.9652),tensor(547.7309)
532.6383992955698,2,side mirror,tensor(436.6549),tensor(237.2125),tensor(671.6450),tensor(511.6719)
532.6784717663654,2,side mirror,tensor(1790.5140),tensor(1595.1302),tensor(611.1369),tensor(483.9594)
532.6784717663654,0,speed,tensor(1288.5005),tensor(1176.1682),tensor(634.3076),tensor(548.6859)
