time,class,AOI,xmax,xmin,ymax,ymin
73.553796,1,reer mirror,tensor(1137.5530),tensor(825.2333),tensor(172.0069),tensor(35.5909)
73.553796,2,side mirror,tensor(175.8005),tensor(0.),tensor(378.3114),tensor(194.3603)
73.553796,0,speed,tensor(1293.1080),tensor(1169.8960),tensor(443.1700),tensor(343.3843)
73.553796,2,side mirror,tensor(1920.),tensor(1744.3352),tensor(338.9798),tensor(169.5170)
73.59386848603353,1,reer mirror,tensor(1137.0521),tensor(824.4359),tensor(170.0004),tensor(34.6631)
73.59386848603353,2,side mirror,tensor(174.8592),tensor(0.),tensor(378.3130),tensor(190.4980)
73.59386848603353,0,speed,tensor(1295.3488),tensor(1169.5956),tensor(443.4910),tensor(342.4383)
73.59386848603353,2,side mirror,tensor(1920.),tensor(1742.8484),tensor(338.2055),tensor(165.7267)
73.63394097206705,1,reer mirror,tensor(1136.7583),tensor(821.6250),tensor(169.5080),tensor(33.8446)
73.63394097206705,2,side mirror,tensor(174.1025),tensor(0.),tensor(377.8033),tensor(187.3115)
73.63394097206705,0,speed,tensor(1295.2911),tensor(1170.6252),tensor(441.1438),tensor(341.2509)
73.63394097206705,2,side mirror,tensor(1920.),tensor(1743.4666),tensor(338.8902),tensor(165.0140)
73.67401345810056,1,reer mirror,tensor(1136.7966),tensor(822.0740),tensor(168.2817),tensor(32.4663)
73.67401345810056,2,side mirror,tensor(173.2847),tensor(0.),tensor(377.5659),tensor(185.9068)
73.67401345810056,0,speed,tensor(1293.5618),tensor(1171.2308),tensor(440.8343),tensor(341.2570)
73.67401345810056,2,side mirror,tensor(1920.),tensor(1745.2361),tensor(335.8751),tensor(164.2317)
73.71408594413408,1,reer mirror,tensor(1136.2778),tensor(821.0845),tensor(168.0953),tensor(32.5278)
73.71408594413408,2,side mirror,tensor(172.8180),tensor(0.),tensor(377.3478),tensor(186.1837)
73.71408594413408,0,speed,tensor(1295.2662),tensor(1170.9735),tensor(441.0471),tensor(341.1240)
73.71408594413408,2,side mirror,tensor(1920.),tensor(1749.2981),tensor(330.2312),tensor(161.2978)
73.7541584301676,1,reer mirror,tensor(1136.7214),tensor(821.0063),tensor(169.0630),tensor(32.2635)
73.7541584301676,2,side mirror,tensor(172.9905),tensor(0.),tensor(377.7179),tensor(185.5328)
73.7541584301676,0,speed,tensor(1294.4415),tensor(1169.7863),tensor(442.0496),tensor(342.3873)
73.7541584301676,2,side mirror,tensor(1920.),tensor(1746.6425),tensor(332.2962),tensor(162.9542)
73.79423091620113,1,reer mirror,tensor(1136.9263),tensor(826.6105),tensor(168.6698),tensor(32.1439)
73.79423091620113,2,side mirror,tensor(173.9423),tensor(0.),tensor(377.9547),tensor(187.1413)
73.79423091620113,0,speed,tensor(1291.7443),tensor(1168.3422),tensor(443.0484),tensor(343.3153)
73.79423091620113,2,side mirror,tensor(1920.),tensor(1746.2146),tensor(333.7949),tensor(163.7320)
73.83430340223464,1,reer mirror,tensor(1136.4287),tensor(825.9923),tensor(169.4014),tensor(32.6698)
73.83430340223464,2,side mirror,tensor(173.4667),tensor(0.),tensor(378.4323),tensor(186.7080)
73.83430340223464,0,speed,tensor(1292.9464),tensor(1165.2770),tensor(444.0657),tensor(342.8577)
73.83430340223464,2,side mirror,tensor(1919.6287),tensor(1748.0618),tensor(339.2580),tensor(163.6346)
73.87437588826816,1,reer mirror,tensor(1136.4624),tensor(827.1453),tensor(169.1802),tensor(33.4049)
73.87437588826816,2,side mirror,tensor(172.3249),tensor(0.),tensor(377.8502),tensor(186.7074)
73.87437588826816,0,speed,tensor(1290.8317),tensor(1165.7820),tensor(443.4055),tensor(343.0006)
73.87437588826816,2,side mirror,tensor(1919.6741),tensor(1748.8623),tensor(336.9351),tensor(167.4055)
73.91444837430168,1,reer mirror,tensor(1136.1947),tensor(827.2599),tensor(169.1590),tensor(33.8189)
73.91444837430168,2,side mirror,tensor(171.4204),tensor(0.),tensor(377.9657),tensor(186.8913)
73.91444837430168,0,speed,tensor(1290.8257),tensor(1165.3004),tensor(443.3786),tensor(342.7799)
73.91444837430168,2,side mirror,tensor(1919.7404),tensor(1747.3385),tensor(336.5806),tensor(167.8775)
73.95452086033521,1,reer mirror,tensor(1135.8959),tensor(827.9634),tensor(170.1544),tensor(33.7617)
73.95452086033521,0,speed,tensor(1281.9297),tensor(1165.3234),tensor(443.6918),tensor(343.4902)
73.95452086033521,2,side mirror,tensor(169.2428),tensor(0.),tensor(376.5836),tensor(186.8037)
73.95452086033521,2,side mirror,tensor(1919.7620),tensor(1744.1514),tensor(338.5645),tensor(172.8563)
73.99459334636872,1,reer mirror,tensor(1136.2677),tensor(828.0936),tensor(170.7425),tensor(33.8563)
73.99459334636872,2,side mirror,tensor(171.7116),tensor(0.),tensor(377.1475),tensor(186.4289)
73.99459334636872,0,speed,tensor(1283.2729),tensor(1166.0646),tensor(444.3842),tensor(343.4582)
73.99459334636872,2,side mirror,tensor(1920.),tensor(1740.4080),tensor(338.0698),tensor(170.2794)
74.03466583240224,1,reer mirror,tensor(1136.0128),tensor(826.9006),tensor(170.9629),tensor(34.9089)
74.03466583240224,2,side mirror,tensor(171.0287),tensor(0.),tensor(377.3585),tensor(188.4592)
