time,class,AOI,xmax,xmin,ymax,ymin
473.031482,0,speed,tensor(1289.4482),tensor(1129.3323),tensor(427.6976),tensor(335.3723)
473.031482,2,side mirror,tensor(202.8831),tensor(1.3693),tensor(412.4294),tensor(223.5825)
473.0715545100228,0,speed,tensor(1289.4833),tensor(1129.4679),tensor(427.5819),tensor(335.0507)
473.0715545100228,2,side mirror,tensor(205.8090),tensor(1.7718),tensor(413.7549),tensor(224.2552)
473.1116270200456,0,speed,tensor(1282.1147),tensor(1131.7885),tensor(427.3996),tensor(334.2409)
473.1116270200456,1,reer mirror,tensor(1140.1963),tensor(829.6152),tensor(146.1922),tensor(36.9712)
473.1116270200456,2,side mirror,tensor(1918.4202),tensor(1641.6160),tensor(451.8900),tensor(266.3078)
473.1116270200456,2,side mirror,tensor(348.3564),tensor(157.4263),tensor(395.3289),tensor(238.7802)
473.15169953006836,0,speed,tensor(1281.1923),tensor(1132.6600),tensor(427.8007),tensor(333.6782)
473.15169953006836,2,side mirror,tensor(1916.7048),tensor(1652.7909),tensor(452.2854),tensor(272.7309)
473.15169953006836,1,reer mirror,tensor(1141.8590),tensor(834.7344),tensor(144.5157),tensor(35.1653)
473.15169953006836,2,side mirror,tensor(204.4811),tensor(1.3938),tensor(432.9395),tensor(224.0854)
473.19177204009117,0,speed,tensor(1285.3088),tensor(1130.7061),tensor(428.1891),tensor(330.7466)
473.19177204009117,2,side mirror,tensor(1916.7158),tensor(1653.4413),tensor(454.7024),tensor(266.0951)
473.19177204009117,2,side mirror,tensor(207.9209),tensor(1.7925),tensor(426.4273),tensor(223.6593)
473.19177204009117,1,reer mirror,tensor(1144.3950),tensor(823.7675),tensor(144.7345),tensor(36.5679)
473.231844550114,0,speed,tensor(1286.5350),tensor(1130.7742),tensor(428.5000),tensor(330.7310)
473.231844550114,2,side mirror,tensor(1917.0538),tensor(1663.9010),tensor(454.2390),tensor(263.2340)
473.231844550114,2,side mirror,tensor(205.9313),tensor(1.6723),tensor(423.3116),tensor(223.6537)
473.2719170601368,0,speed,tensor(1293.8420),tensor(1130.0417),tensor(428.3778),tensor(328.5738)
473.2719170601368,2,side mirror,tensor(1910.5442),tensor(1663.0229),tensor(457.4659),tensor(272.0330)
473.2719170601368,2,side mirror,tensor(204.7442),tensor(2.0808),tensor(425.4024),tensor(224.6328)
473.31198957015954,0,speed,tensor(1291.6355),tensor(1131.5676),tensor(429.7839),tensor(331.2438)
473.31198957015954,2,side mirror,tensor(1910.1442),tensor(1683.1168),tensor(451.9796),tensor(267.7424)
473.31198957015954,2,side mirror,tensor(207.5444),tensor(2.2022),tensor(422.6690),tensor(225.2301)
473.35206208018235,0,speed,tensor(1293.2750),tensor(1131.4871),tensor(428.7033),tensor(331.4812)
473.35206208018235,2,side mirror,tensor(1909.3495),tensor(1678.6725),tensor(448.4840),tensor(268.8602)
473.35206208018235,2,side mirror,tensor(205.3287),tensor(2.1979),tensor(418.6300),tensor(225.2331)
473.39213459020516,0,speed,tensor(1292.6276),tensor(1132.3545),tensor(428.1784),tensor(332.3925)
473.39213459020516,1,reer mirror,tensor(1167.2964),tensor(811.9689),tensor(142.1795),tensor(22.5125)
473.43220710022797,0,speed,tensor(1292.2460),tensor(1131.8580),tensor(428.9210),tensor(331.4642)
473.4722796102507,0,speed,tensor(1290.1311),tensor(1133.4976),tensor(428.7393),tensor(332.8721)
473.4722796102507,1,reer mirror,tensor(1161.4425),tensor(812.3663),tensor(144.0244),tensor(19.7523)
473.51235212027353,0,speed,tensor(1286.8649),tensor(1134.9269),tensor(429.1139),tensor(333.5545)
473.51235212027353,2,side mirror,tensor(202.8384),tensor(1.6189),tensor(420.3906),tensor(208.0277)
473.55242463029634,0,speed,tensor(1288.3412),tensor(1133.8694),tensor(429.2612),tensor(332.8919)
473.55242463029634,2,side mirror,tensor(203.8278),tensor(1.7570),tensor(414.4195),tensor(214.3815)
473.55242463029634,1,reer mirror,tensor(1163.6115),tensor(841.0648),tensor(144.7752),tensor(27.4595)
473.59249714031915,0,speed,tensor(1292.5391),tensor(1133.2263),tensor(429.9184),tensor(332.7141)
473.59249714031915,2,side mirror,tensor(206.6585),tensor(1.8582),tensor(408.8376),tensor(217.2091)
473.59249714031915,1,reer mirror,tensor(1164.0844),tensor(843.7963),tensor(143.3268),tensor(26.2668)
473.59249714031915,2,side mirror,tensor(1911.1989),tensor(1689.8456),tensor(451.5055),tensor(263.6510)
473.63256965034196,0,speed,tensor(1291.2733),tensor(1131.8818),tensor(428.8897),tensor(332.9561)
473.63256965034196,2,side mirror,tensor(206.9126),tensor(2.1816),tensor(402.6024),tensor(219.0796)
473.63256965034196,1,reer mirror,tensor(1166.5563),tensor(842.2050),tensor(143.9642),tensor(29.6302)
473.6726421603647,0,speed,tensor(1294.1348),tensor(1129.8014),tensor(430.3834),tensor(331.4918)
473.6726421603647,2,side mirror,tensor(213.0718),tensor(2.2775),tensor(403.4608),tensor(217.9706)
