time,class,AOI,xmax,xmin,ymax,ymin
159.472305,0,speed,tensor(1421.4651),tensor(1303.8802),tensor(294.6950),tensor(191.5575)
159.51237748166733,0,speed,tensor(1436.3779),tensor(1308.5370),tensor(294.8067),tensor(190.7760)
159.55244996333462,0,speed,tensor(1434.6663),tensor(1309.9703),tensor(295.6249),tensor(193.1408)
159.59252244500195,0,speed,tensor(1436.8223),tensor(1309.5566),tensor(294.9104),tensor(194.0018)
159.63259492666924,0,speed,tensor(1440.6306),tensor(1312.0011),tensor(294.0413),tensor(194.1181)
159.67266740833657,0,speed,tensor(1433.8715),tensor(1309.7196),tensor(295.1039),tensor(194.2748)
159.71273989000386,0,speed,tensor(1437.6350),tensor(1311.3818),tensor(298.6641),tensor(193.5343)
159.75281237167118,0,speed,tensor(1433.4331),tensor(1299.6639),tensor(299.7070),tensor(191.4204)
159.79288485333848,0,speed,tensor(1425.4929),tensor(1297.3923),tensor(308.7361),tensor(201.2498)
159.8329573350058,0,speed,tensor(1426.6727),tensor(1296.9520),tensor(316.6172),tensor(209.4598)
159.8730298166731,0,speed,tensor(1426.6202),tensor(1286.8485),tensor(325.0617),tensor(215.2720)
159.91310229834042,0,speed,tensor(1423.3726),tensor(1286.2438),tensor(325.6335),tensor(212.3939)
159.9531747800077,0,speed,tensor(1407.4233),tensor(1278.8560),tensor(326.6715),tensor(218.9099)
159.99324726167504,0,speed,tensor(1406.2241),tensor(1276.3052),tensor(325.2706),tensor(216.8382)
160.03331974334233,0,speed,tensor(1398.8635),tensor(1272.8605),tensor(324.2126),tensor(216.5252)
160.03331974334233,2,side mirror,tensor(59.9749),tensor(0.1159),tensor(424.2476),tensor(237.0348)
160.03331974334233,2,side mirror,tensor(45.3423),tensor(0.5566),tensor(423.5783),tensor(248.8423)
160.07339222500966,0,speed,tensor(1396.3103),tensor(1269.0879),tensor(323.8767),tensor(215.7368)
160.07339222500966,2,side mirror,tensor(57.6180),tensor(0.2113),tensor(427.4973),tensor(239.8504)
160.11346470667695,0,speed,tensor(1391.3455),tensor(1268.5099),tensor(324.8272),tensor(216.2889)
160.11346470667695,2,side mirror,tensor(56.7007),tensor(0.2798),tensor(430.7206),tensor(242.9426)
160.15353718834427,0,speed,tensor(1392.1003),tensor(1268.4019),tensor(324.7236),tensor(213.7843)
160.15353718834427,2,side mirror,tensor(56.5165),tensor(0.2537),tensor(430.0604),tensor(244.8505)
160.1936096700116,0,speed,tensor(1394.3673),tensor(1271.1201),tensor(324.8838),tensor(212.9837)
160.1936096700116,2,side mirror,tensor(58.8569),tensor(0.2046),tensor(428.4414),tensor(245.5691)
160.2336821516789,0,speed,tensor(1390.4729),tensor(1267.7109),tensor(325.4847),tensor(213.4105)
160.2336821516789,2,side mirror,tensor(57.9706),tensor(0.2275),tensor(430.0450),tensor(243.5796)
160.27375463334621,0,speed,tensor(1392.5081),tensor(1264.3280),tensor(324.2573),tensor(215.9761)
160.27375463334621,2,side mirror,tensor(58.5754),tensor(0.0872),tensor(423.0105),tensor(249.6730)
160.3138271150135,0,speed,tensor(1392.8602),tensor(1265.2406),tensor(323.5075),tensor(215.6902)
160.3138271150135,2,side mirror,tensor(54.2255),tensor(0.0309),tensor(424.4908),tensor(233.6545)
160.35389959668083,0,speed,tensor(1378.6923),tensor(1266.5457),tensor(322.9295),tensor(219.7246)
160.35389959668083,2,side mirror,tensor(52.3498),tensor(0.),tensor(421.8703),tensor(232.0609)
160.39397207834813,0,speed,tensor(1369.4725),tensor(1255.2122),tensor(322.7580),tensor(217.7453)
160.39397207834813,2,side mirror,tensor(51.0335),tensor(0.1183),tensor(426.1974),tensor(238.8075)
160.43404456001545,0,speed,tensor(1381.4474),tensor(1261.2141),tensor(323.3338),tensor(218.8304)
160.43404456001545,2,side mirror,tensor(50.9295),tensor(0.0926),tensor(428.0788),tensor(235.2401)
160.47411704168275,0,speed,tensor(1370.7969),tensor(1258.8693),tensor(323.7717),tensor(218.0168)
160.47411704168275,2,side mirror,tensor(50.9987),tensor(0.1295),tensor(425.4252),tensor(236.6466)
160.51418952335007,0,speed,tensor(1372.9552),tensor(1250.4482),tensor(326.9120),tensor(217.6559)
160.51418952335007,2,side mirror,tensor(50.0958),tensor(0.1364),tensor(422.6621),tensor(245.1917)
160.55426200501736,0,speed,tensor(1375.1385),tensor(1253.1346),tensor(325.7803),tensor(216.6479)
160.55426200501736,2,side mirror,tensor(50.4459),tensor(0.0956),tensor(417.8416),tensor(245.9120)
160.5943344866847,0,speed,tensor(1379.5864),tensor(1255.7266),tensor(326.5975),tensor(219.8105)
160.5943344866847,2,side mirror,tensor(49.0748),tensor(0.2496),tensor(414.5075),tensor(236.1360)
160.63440696835198,0,speed,tensor(1362.7515),tensor(1249.4016),tensor(322.4170),tensor(216.8527)
160.63440696835198,2,side mirror,tensor(49.2145),tensor(0.1415),tensor(413.4250),tensor(229.6131)
160.6744794500193,0,speed,tensor(1366.1147),tensor(1249.9146),tensor(321.8536),tensor(214.5098)
160.7145519316866,0,speed,tensor(1367.3859),tensor(1244.7213),tensor(325.1298),tensor(215.3884)
160.75462441335392,0,speed,tensor(1368.9489),tensor(1247.1270),tensor(322.5016),tensor(210.6548)
160.79469689502125,0,speed,tensor(1373.5807),tensor(1250.3097),tensor(320.8500),tensor(210.9131)
160.83476937668854,0,speed,tensor(1371.0795),tensor(1237.4319),tensor(321.6677),tensor(208.8810)
160.87484185835586,0,speed,tensor(1369.2704),tensor(1243.8212),tensor(318.3708),tensor(205.2053)
160.91491434002316,0,speed,tensor(1367.4155),tensor(1239.9269),tensor(326.7885),tensor(211.3817)
160.95498682169048,0,speed,tensor(1367.4305),tensor(1245.5244),tensor(322.2318),tensor(208.2276)
160.99505930335778,0,speed,tensor(1365.7203),tensor(1242.9243),tensor(325.6350),tensor(214.0207)
161.0351317850251,0,speed,tensor(1366.1045),tensor(1242.8352),tensor(324.9826),tensor(214.5818)
161.0752042666924,0,speed,tensor(1365.4552),tensor(1237.7181),tensor(327.6114),tensor(213.5181)
161.11527674835972,0,speed,tensor(1366.2909),tensor(1242.3904),tensor(326.7018),tensor(213.6163)
161.155349230027,0,speed,tensor(1364.5865),tensor(1235.9993),tensor(326.1475),tensor(213.2108)
161.155349230027,2,side mirror,tensor(53.3586),tensor(0.1877),tensor(413.0910),tensor(217.6647)
161.19542171169434,0,speed,tensor(1364.7972),tensor(1239.7234),tensor(328.1610),tensor(215.1371)
161.23549419336163,0,speed,tensor(1363.8057),tensor(1242.1000),tensor(326.7350),tensor(213.2446)
161.23549419336163,2,side mirror,tensor(51.9665),tensor(0.1667),tensor(415.5257),tensor(219.2729)
161.27556667502895,0,speed,tensor(1364.1185),tensor(1245.1604),tensor(328.6279),tensor(215.1730)
161.31563915669625,0,speed,tensor(1365.0216),tensor(1240.5334),tensor(331.4500),tensor(214.6106)
161.31563915669625,2,side mirror,tensor(54.1755),tensor(0.1906),tensor(413.2281),tensor(215.9106)
161.35571163836357,0,speed,tensor(1364.4204),tensor(1239.5326),tensor(332.5451),tensor(223.4769)
161.39578412003087,0,speed,tensor(1365.0071),tensor(1238.8689),tensor(332.9713),tensor(223.2389)
161.39578412003087,2,side mirror,tensor(54.8546),tensor(0.0200),tensor(425.3628),tensor(227.1622)
161.4358566016982,0,speed,tensor(1367.0504),tensor(1237.9167),tensor(333.9833),tensor(222.9700)
161.4358566016982,2,side mirror,tensor(55.1782),tensor(0.0602),tensor(426.3217),tensor(227.6906)
161.47592908336551,0,speed,tensor(1365.7599),tensor(1238.3452),tensor(333.5402),tensor(223.9459)
161.47592908336551,2,side mirror,tensor(54.3779),tensor(0.0421),tensor(425.4884),tensor(229.5940)
161.5160015650328,0,speed,tensor(1367.5024),tensor(1237.4760),tensor(333.0681),tensor(219.0842)
161.5160015650328,2,side mirror,tensor(54.4312),tensor(0.0329),tensor(425.4503),tensor(224.9574)
161.55607404670013,0,speed,tensor(1366.5312),tensor(1240.7080),tensor(331.4737),tensor(220.3372)
