time,class,AOI,xmax,xmin,ymax,ymin
398.395525,2,side mirror,tensor(1845.0059),tensor(1636.5190),tensor(482.9315),tensor(356.2851)
398.395525,1,reer mirror,tensor(1152.0974),tensor(857.5280),tensor(300.2208),tensor(193.0645)
398.395525,2,side mirror,tensor(411.1118),tensor(207.0383),tensor(555.2038),tensor(418.9492)
398.395525,0,speed,tensor(1303.5518),tensor(1178.6021),tensor(525.7639),tensor(431.6836)
398.4355974707957,2,side mirror,tensor(1845.0725),tensor(1636.4619),tensor(483.0483),tensor(356.1126)
398.4355974707957,1,reer mirror,tensor(1151.9672),tensor(857.5900),tensor(300.2360),tensor(192.9344)
398.4355974707957,2,side mirror,tensor(411.1327),tensor(207.0596),tensor(555.2054),tensor(418.9279)
398.4355974707957,0,speed,tensor(1303.3477),tensor(1178.6202),tensor(525.8138),tensor(431.6947)
398.4756699415914,2,side mirror,tensor(1842.2875),tensor(1636.3799),tensor(491.2923),tensor(362.5776)
398.4756699415914,2,side mirror,tensor(413.3366),tensor(208.3981),tensor(566.3854),tensor(427.0768)
398.4756699415914,0,speed,tensor(1310.1401),tensor(1179.6577),tensor(530.0081),tensor(434.5686)
398.4756699415914,1,reer mirror,tensor(1154.6046),tensor(861.1157),tensor(306.2850),tensor(203.4013)
398.51574241238706,2,side mirror,tensor(412.9601),tensor(210.3359),tensor(569.3478),tensor(437.3782)
398.51574241238706,2,side mirror,tensor(1840.0433),tensor(1633.8248),tensor(495.2103),tensor(366.1443)
398.51574241238706,1,reer mirror,tensor(1157.4639),tensor(864.3600),tensor(313.0388),tensor(209.8266)
398.51574241238706,0,speed,tensor(1311.4940),tensor(1179.0084),tensor(535.7451),tensor(440.9404)
398.55581488318273,2,side mirror,tensor(410.7856),tensor(212.2565),tensor(572.3447),tensor(440.2056)
398.55581488318273,2,side mirror,tensor(1835.6140),tensor(1628.6250),tensor(499.5488),tensor(373.1610)
398.55581488318273,1,reer mirror,tensor(1154.1888),tensor(862.0124),tensor(318.9231),tensor(219.3206)
398.55581488318273,0,speed,tensor(1309.6058),tensor(1177.8461),tensor(541.2010),tensor(450.2264)
398.5958873539784,1,reer mirror,tensor(1155.0737),tensor(861.1240),tensor(323.8375),tensor(221.3196)
398.5958873539784,2,side mirror,tensor(409.6313),tensor(213.0469),tensor(569.3138),tensor(442.1837)
398.5958873539784,2,side mirror,tensor(1833.1531),tensor(1628.0955),tensor(501.3378),tensor(378.1875)
398.5958873539784,0,speed,tensor(1315.0306),tensor(1177.7483),tensor(540.9820),tensor(451.3217)
398.6359598247741,2,side mirror,tensor(414.2937),tensor(213.2590),tensor(567.9533),tensor(440.5648)
398.6359598247741,1,reer mirror,tensor(1155.3488),tensor(863.0228),tensor(321.8026),tensor(221.2512)
398.6359598247741,2,side mirror,tensor(1831.7100),tensor(1628.9075),tensor(502.0395),tensor(379.2900)
398.6359598247741,0,speed,tensor(1304.7330),tensor(1178.0779),tensor(540.4673),tensor(452.0208)
398.67603229556977,2,side mirror,tensor(1830.3600),tensor(1622.5067),tensor(504.8807),tensor(377.8802)
398.67603229556977,1,reer mirror,tensor(1154.0358),tensor(864.1432),tensor(320.2592),tensor(219.8190)
398.67603229556977,2,side mirror,tensor(410.2819),tensor(213.8844),tensor(565.6511),tensor(440.5553)
398.67603229556977,0,speed,tensor(1303.7831),tensor(1177.0195),tensor(539.5137),tensor(451.6411)
398.67603229556977,2,side mirror,tensor(1920.),tensor(1869.1663),tensor(704.4119),tensor(568.1923)
398.71610476636545,2,side mirror,tensor(1823.5118),tensor(1618.2374),tensor(508.1943),tensor(380.9670)
398.71610476636545,1,reer mirror,tensor(1148.0311),tensor(865.9330),tensor(317.8244),tensor(222.5867)
398.71610476636545,2,side mirror,tensor(410.9927),tensor(209.4388),tensor(567.3784),tensor(438.0378)
398.71610476636545,0,speed,tensor(1299.3191),tensor(1173.7428),tensor(539.0435),tensor(452.1985)
398.71610476636545,2,side mirror,tensor(1920.),tensor(1865.8734),tensor(702.2956),tensor(568.6843)
398.7561772371611,2,side mirror,tensor(1820.6675),tensor(1615.5579),tensor(511.0605),tensor(381.3259)
398.7561772371611,1,reer mirror,tensor(1150.0105),tensor(864.3093),tensor(322.5972),tensor(224.3694)
398.7561772371611,0,speed,tensor(1294.0577),tensor(1171.9366),tensor(541.8031),tensor(454.9577)
398.7561772371611,2,side mirror,tensor(409.2974),tensor(205.7477),tensor(569.6116),tensor(440.0760)
398.7561772371611,2,side mirror,tensor(1920.),tensor(1858.7087),tensor(709.3942),tensor(566.3348)
398.7962497079568,2,side mirror,tensor(1816.2257),tensor(1616.4097),tensor(511.9352),tensor(386.0460)
398.7962497079568,0,speed,tensor(1296.2992),tensor(1169.1317),tensor(545.9252),tensor(457.4723)
398.7962497079568,2,side mirror,tensor(407.1664),tensor(204.1134),tensor(570.0229),tensor(440.6413)
398.7962497079568,1,reer mirror,tensor(1144.8369),tensor(864.9379),tensor(324.7349),tensor(225.5246)
398.8363221787525,2,side mirror,tensor(1814.1564),tensor(1616.5988),tensor(512.1572),tensor(389.0021)
