time,class,AOI,xmax,xmin,ymax,ymin
73.039535,2,side mirror,tensor(303.5586),tensor(26.4849),tensor(307.5139),tensor(114.5184)
73.039535,0,speed,tensor(1369.4207),tensor(1270.1909),tensor(376.9442),tensor(265.5194)
73.07960749968707,2,side mirror,tensor(299.9413),tensor(26.5796),tensor(308.7785),tensor(115.8596)
73.07960749968707,0,speed,tensor(1374.6222),tensor(1269.3069),tensor(379.8150),tensor(266.6229)
73.11967999937414,0,speed,tensor(1371.4795),tensor(1268.7775),tensor(378.6814),tensor(266.8335)
73.11967999937414,2,side mirror,tensor(298.8810),tensor(26.8109),tensor(309.5240),tensor(116.1341)
73.15975249906121,0,speed,tensor(1370.9490),tensor(1268.3478),tensor(378.9328),tensor(267.9991)
73.15975249906121,2,side mirror,tensor(299.4492),tensor(27.4358),tensor(311.7689),tensor(118.7355)
73.15975249906121,1,reer mirror,tensor(1205.7947),tensor(881.0070),tensor(84.1443),tensor(0.)
73.19982499874828,2,side mirror,tensor(298.2346),tensor(28.7092),tensor(311.7334),tensor(120.7694)
73.19982499874828,0,speed,tensor(1373.6290),tensor(1269.2677),tensor(379.0238),tensor(270.9913)
73.19982499874828,1,reer mirror,tensor(1203.3845),tensor(874.7051),tensor(87.7755),tensor(0.)
73.23989749843535,0,speed,tensor(1369.4800),tensor(1264.5510),tensor(379.8578),tensor(272.1021)
73.23989749843535,2,side mirror,tensor(298.3499),tensor(29.0091),tensor(313.8329),tensor(121.7374)
73.23989749843535,1,reer mirror,tensor(1207.2733),tensor(879.0538),tensor(89.6347),tensor(0.)
73.27996999812243,0,speed,tensor(1370.6609),tensor(1264.7638),tensor(381.2590),tensor(273.0515)
73.27996999812243,2,side mirror,tensor(296.0626),tensor(28.1779),tensor(314.6049),tensor(121.9892)
73.27996999812243,1,reer mirror,tensor(1206.4117),tensor(881.8949),tensor(91.3844),tensor(0.)
73.3200424978095,2,side mirror,tensor(302.9898),tensor(28.2718),tensor(309.4887),tensor(121.9334)
73.3200424978095,0,speed,tensor(1373.8572),tensor(1266.1077),tensor(384.8995),tensor(275.0247)
73.3200424978095,1,reer mirror,tensor(1206.5289),tensor(889.6395),tensor(91.7917),tensor(0.)
